item_id,case_id,sent_idx,sentence,attributed_chunk,grade_A_fully,grade_B_partly,grade_C_topical,grade_D_not,annotator_grade,notes
49,row7218::7218,1,"The establishment is open every day of the week, with longer operating hours on Fridays and Saturdays.","{'name': 'Fox Wine', 'address': '120 Santa Barbara St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Wine Bars, Arts & Entertainment, Wine Tasting Room, Nightlife, Bars, Food, Wineries', 'hours': {'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': None, 'OutdoorSeating': False, 'WiFi': None, 'RestaurantsTakeOut': False, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False",,,,,A,
50,row1406::1406,1,"The meeting with Castro, however, is subject to Obama's efforts to end the freeze of Cuba, which has proven to be a challenge.","Washington (CNN)Decision time for GOP operatives, another controversial foreign policy choice for President Obama, a ripple effect from the Robert Menendez indictment, and two insights into Hillary Clinton's campaign launch -- those stories filled our Sunday trip around the ""Inside Politics"" table. Obama's Iran diplomacy already has his conservative critics fired up, and things could get even more interesting in the week ahead. The President is headed to Panama for a regional summit, and Julie Pace of The Associated Press reports one of the big questions is whether he'll make history and have a face-to-face meeting with Cuban leader Raul Castro. ""This would be the first meeting between a U.S. and a Cuban leader in decades,"" said Pace. ""But Obama's efforts to end this freeze of Cuba have be",,,,,B,
51,row5120::5120,0,"El Taco Grande is a restaurant located in Carpinteria, California.","{'name': 'El Taco Grande', 'address': '1096 Casitas Pass Rd', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Restaurants, Mexican', 'hours': {'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-15:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}}, 'business_stars': 3.0, 'review_info': [{'review_",,,,,A,
52,row7991::7991,9,"Overall, Giovanni's of Santa Barbara is a reliable and delicious local spot that is sure to please even the most discerning palates.","Friendly staff and very generous portions. The owner Andreas used to own IV location and he runs this spot too, really cool guy. Can't go wrong great locals spot!",,,,,B,
53,row10139::10139,4,Place the paw paw seeds in a colander or wire basket and store them in a refrigerator at a temperature of 30-40°F (1-4°C) for 90 days.,"Set the paw paw seeds into a colander or wire basket. Rinse the paw paw seeds under cool tap water.Use a small brush, if necessary, to remove excess pulp from the seeds.tep 4. Place the bag containing the paw paw seeds into a refrigerator where the temperature is approximately 30 to 40 degrees Fahrenheit. Leave the bag in the refrigerator for approximately 90 days.",,,,,B,
54,row2859::2859,10,"This tragedy comes just over a year after another deadly avalanche on the mountain, and it is possible that this day could be the most deadly yet.","Since the avalanches, ""the whole route would be different now than before the quake. They'll have to put a new route in from base camp up through that icefall ... They (the climbers) will have to cool it for a couple days, way until the route is reestablished ... they've got enough food and fuel for the stoves."" His son, Leif Whittaker, told CNN that he hasn't heard from everyone he knows to be on Everest. ""It's really tragic and I'm really saddened by the news,"" he said. ""I have a lot friends in the area and friends on Everest right now. It's hard to get news from base camp and the mountains because communication is difficult as it is. Many of my friends are safe, but I'm not sure if all of them are. ""It's been a bad few years on Everest,"" he said. ""My heart goes out to them, and I'm send",,,,,C,
55,row1746::1746,2,"This year's celebrations were marked by anti-immigrant attacks and messages of hope on Twitter, including from Indian PM Narendra Modi.","Using the #FreedomDay hashtag, people across the country and beyond took to Twitter to celebrate this year's event, express their views and send out their wishes -- including the South African government. Indian Prime Minister Narendra Modi also hailed the people of South Africa and sent out a message of hope. Many South Africans used Twitter to denounce the recent violence...",,,,,B,
56,row6636::6636,1,"With a 4-star business rating, this restaurant also offers pizza and features a wine bar, nightlife, and outdoor seating.","{'name': 'Ca’Dario - Montecito', 'address': '1187 Coast Village Rd', 'city': 'Montecito', 'state': 'CA', 'categories': 'Seafood, Restaurants, Italian, Nightlife, Bars, Wine Bars, Pizza', 'hours': {'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-21:0'}, 'attributes': {'BusinessParking': None, 'RestaurantsReservations': None, 'OutdoorSeating': True, 'WiFi': None, 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': None}, 'business_stars': 4.0, 'review_info': [{'review_stars': 1.0, 'review_date': '2022-01-06 02:30:08', 'review_text': 'I ordered a 20 oz veal chop to go. The chop was very large but there was very little meat on the bone (maybe 1/",,,,,A,
57,row6823::6823,3,Customers have left negative reviews about the quality of the sandwiches and the service.,"I called to express my frustration on a poorly made sandwich and they just hung up. Such a shame""}]} Overview:",,,,,A,
58,row4820::4820,7,The business has an average rating of 4 stars out of 5 based on customer reviews.,"{'name': ""Tyler's Donuts"", 'address': '1002 Casitas Pass Rd', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Restaurants, Donuts, Food, Coffee & Tea', 'hours': {'Monday': '5:0-20:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': None, 'OutdoorSeating': None, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': None}, 'business_stars': 4.0, 'review_info': [{'review_stars': 1.0, 'review_date': '2021-10-27 03:09:32', 'review_text': ""Bad very bad servise the old lady to rude I left without  my  daily",,,,,A,
59,row1075::1075,2,"However, the article counters this argument by pointing out that studies have shown women leaders to take fewer unnecessary risks than their male counterparts.","If Rios is concerned about hormones impacting decisions in the Oval Office, she'd be better off worrying about the male candidates for president. Throughout history, male hormones have indeed impaired some male leaders' decision-making. Studies show that women leaders take fewer unnecessary risks than their male counterparts. If science doesn't convince you, just Google ""cheating politicians"" for the long and sordid list of men like Arnold Schwarzenegger, Mark Sanford and John Edwards, whose hormones got the best of them. Rios has taken a lot of flak for her ""biblically"" inspired beliefs, but she's not the only one who's arguing that a woman's hormones are a legitimate leadership concern. Time magazine declared Hillary Clinton the ""perfect"" age to be president, because she's a postmenopaus",,,,,A,
60,row8784::8784,5,There are also complaints about the difficulty of getting into contact with the spa's management.,"Good luck getting your refund! \n\nJeff was the best part of that place . I guess I should've listened to the other 1 star helpers when they said it was hard to get into contact with anyone at the spa, but of course I had Lauryns personal number and she always used to get back to me, until shit started to hit the fan with her spa.",,,,,A,
61,row12927::12927,8,4.,"share | improve this question.ut, I cannot scan the registry of that hard drive because that drive is not booted up. The hard drive was a regular XP hard drive install that I removed to scan as an attached drive (with an adapter to make it a USB drive.). windows usb windows-registry anti-virus.  Instructions. Click the Start button and type regedit into the Search field, then click the Registry Editor program.",,,,,D,
62,row11407::11407,3,"Alternatively, you can cook the sausage in a Dutch oven with onion and rice, following the instructions on the rice package.","In a Dutch ... onion. Cut the Polish sausage into 1 1/2 ... add the rice to the pot and cover, following the directions on the package to cook the rice.",,,,,A,
63,row3301::3301,0,"In 1984, 13-year-old Kelly Harris disappeared mysteriously in Jackson, Michigan.","Kelly Harris, a bright 13-year-old from Jackson, Michigan, mysteriously vanished in 1984. Only after 22 years did her stepfather, Leonard Hugall, confess to her tragic death The tragic case of Kelly Harris serves as a haunting reminder of the unpredictable nature of crime and the profound effects it can have on families. In 1984, 13-year-old Kelly Harris disappeared mysteriously from Jackson, Michigan, where she was visiting her mother and stepfather. This was after a disagreement about attending a local fair.",,,,,A,
64,row1065::1065,3,"Despite the Houthis releasing the Yemeni Defense Minister, Mahmoud al-Subaihi, the rebels have vowed not to surrender.","Military action will be taken if needed. Houthi leader: 'Anyone who thinks we will surrender is dreaming' On Wednesday, Houthis released Yemeni Defense Minister Mahmoud al-Subaihi in Sanaa, a senior Saudi source said on the condition of anonymity. The Houthis had said they detained the defense minister at an air base near the Yemeni port city of Aden on March 26, shortly before the Saudis began their airstrike campaign. The rebels had captured the base that day as part of an advance on the Aden area. The United Nations demanded al-Subaihi's release earlier this month. But beyond the military campaign, the Saudis and their allies have said they want to find a political solution for the violence-plagued nation. President Abd Rabbuh Mansur Hadi, who says he's Yemen's legitimate leader, thanke",,,,,A,
65,row720::720,2,"Additionally, Schumer's monologue was a hit, with jokes about herself and various celebrities.","(Billboard)From Channing Tatum twerking for Jennifer Lopez to host Amy Schumer's archery fail, there were plenty of highlights and misfires from the 2015 MTV Movie Awards. 2015 MTV Movie Awards: See the full winners list. Here are the jokes, performances and moments that hit the target and the ones and missed it. Best Moments. Amy Schumer's opener: From a ""Boyhood""/HPV joke to nearly flashing J.K. Simmons to her run-in with a cancer support group, Schumer's opening video segment was as reliably hilarious and inventive as her Comedy Central show (which can't come back on TV soon enough). Plus, her monologue killed: ""Half of you know who I am, half of you think I'm Meghan Trainor."" Channing Tatum doing his thing: When the cast of ""Magic Mike XXL"" presented J.Lo with the Scared As Shit Perfor",,,,,A,
66,row11116::11116,1,"Additionally, it is recommended to incorporate rest days in between weight training workouts, as stated in passage 2.","While two hours and 30 minutes of exercise may seem like a lot of time, it's fine to break up your physical activity into more manageable chunks of time, such as three sets of 10-minute intervals during the day. This makes meeting your aerobic exercise requirements easier.  Put a day of complete rest or light cardio in between each weight training workout, and you’ll make good gains.",,,,,A,
67,row12411::12411,3,"* For 18-year-olds, the average BMI is 26.1 for boys and 24.6 for girls.","By the age of 18, the average BMI for a boy is 26.1, and for a girl, it's 24.6.",,,,,A,
68,row13046::13046,1,"If the individual has experience with the installation process and does not want to go through a repair shop, they can follow the steps outlined in passage 3.","Your car is still under warranty, Im sure youd void a portion of that as well.E: Remote Starter Install 2008 Honda Accord. i have all the wiring diagrams that you will need to install it. email me at audionmotionink@aol.com and i will send them to you as i can't post them in the forum for some reason.",,,,,D,
69,row12014::12014,1,"Gas-causing foods: Broccoli, cauliflower, cabbage, raw fruits, raw fruit juices, popcorn, dried fruits, legumes, foods made with sorbitol and oat bran.","Gas-causing foods to avoid include broccoli, cauliflower, cabbage, raw fruits, raw fruit juices, popcorn, dried fruits, legumes, foods made with sorbitol and oat bran.  Some people with colitis may have difficulty digesting foods with lactose, according to the Mayo Clinic.",,,,,A,
70,row900::900,3,The trailer also offers the first look at Dr.,"We also get our first glimpse of the villainous Dr. Doom in this new trailer, released Sunday. Fans on Twitter had mixed reactions. Check out the trailer here:. The trailerpalooza of ""Star Wars,"" ""Batman v.",,,,,A,
71,row2416::2416,0,"Here is a summary of the article in 200 words or less:

At least 3,218 people have died in Nepal after a powerful earthquake struck the country over the weekend.","Kathmandu, Nepal (CNN)The death toll from the devastating earthquake that struck Nepal two days ago surged past 3,000 on Monday, a government official said. The desperate search for survivors from the country's worst natural disaster in more than 80 years continued. The number of people confirmed dead in Nepal stands at 3,218, said Nepalese Ministry of Home Affairs spokesman Laxmi Dhakal. India has reported 56 deaths, and China another 20. The death toll is expected to climb further as officials get information from the rugged countryside that makes up most of Nepal. As day broke Monday, Nepal was still in survival mode after suffering a series of aftershocks following the huge initial quake on Saturday. The damage was everywhere. Stunned residents wandered the streets of Kathmandu, the ca",,,,,A,
72,row11119::11119,5,Transfer the skillet to the oven and cook for about 5 minutes for medium-rare.,"When the oil is hot, add salmon skin-side down. Sear until the skin is golden brown and crispy, about 5 minutes. Turn and transfer to oven and cook until a cake tester or tip of a paring knife is just warm to the touch when inserted into the middle of the salmon; about 5 minutes for medium-rare and 9 minutes for fully cooked through.  3.",,,,,A,
73,row4779::4779,7,"One reviewer reported being surprised by a $35 holding fee on their tab, which they were not informed of until after the bill had been closed.","{'name': 'Uptown Bar & Lounge', 'address': '3126 State St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Lounges, Karaoke, American (New), Mexican, Sports Bars, Tacos, Restaurants, Pizza, Bars, Nightlife, Food, Beer, Wine & Spirits', 'hours': {'Monday': '0:0-0:0', 'Tuesday': '15:0-23:0', 'Wednesday': '15:0-23:0', 'Thursday': '15:0-23:0', 'Friday': '15:0-1:0', 'Saturday': '12:0-1:0', 'Sunday': '12:0-23:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': True, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy'",,,,,C,
74,row1353::1353,2,"Meanwhile, the UNHCR has reported that around 900 refugees from Yemen have fled to the Horn of Africa, but many more are attempting to make the dangerous journey despite fuel shortages and high fees.","Included as well, the agency said, were micronutrients for up to 20,000 children and water storage materials airlifted through Djibouti from UNICEF's supply center in Denmark. Also Friday, the U.N. High Commissioner for Refugees said that about 900 refugees from Yemen have arrived in the Horn of Africa. Many more are reportedly trying to make the trip but are hampered by fuel shortages and high fees by boat operators. ""UNHCR is extremely concerned about the dangers for anyone trying to flee across the Red Sea and Gulf of Aden, where there are no search and rescue operations,"" the agency said in a statement.",,,,,A,
75,row6823::6823,8,Another customer mentioned that the quality of the sandwiches has declined and expressed frustration over a poorly made sandwich.,"I called to express my frustration on a poorly made sandwich and they just hung up. Such a shame""}]} Overview:",,,,,B,
76,row14983::14983,0,Using vitamin C on the skin can have various effects.,"In some cases, sensitive skin can even get mild chemical burns and the skin can be prone to peeling in the first few days when you start using a strong vitamin C serum.  That's because vitamin C, also known as ascorbic acid, is key to the production of collagen, a protein that aids in the growth of cells and blood vessels and gives skin its firmness and strength [source: WebMD].",,,,,A,
77,row14710::14710,7,"Step 8: Let the ghee cool for about 20 minutes, then strain it through a very fine strainer or 2 layers of muslin cloth to remove any impurities.",Then strain it though a very fine strainer or 2 layers of muslin cloth.,,,,,B,
78,row5089::5089,0,"Fresco Cafe is a local business located at 3987 State St, Ste B in Santa Barbara, CA.","{'name': 'Fresco Cafe', 'address': '3987 State St, Ste B', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'American (Traditional), Bakeries, Restaurants, Italian, Breakfast & Brunch, Food', 'hours': {'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'divey': False, 'hipster': False, 'casual': True, 'touristy': False, 'trendy': False, 'intimate': False, 'romantic': False, 'classy': False, 'upscale': False}}, 'bus",,,,,A,
79,row5388::5388,5,"However, some customers have noted that the service can be slow, suggesting the addition of more bartenders to improve the overall experience.","\n\nI definitely prefer Test Pilot over this place, and they also had a very crowded weekend- but the service was still great. We tend to hop around to check out multiple bars to compare which ones we enjoyed the best. Probably a good idea to add more bartenders to improve the service as it seems that is what's missing in order to have a better experience at the Good Lion.""}]} Overview:",,,,,A,
80,row11015::11015,8,Tilt your head to one side to release the mineral oil and use warm water to flush out the oil and softened wax.,"To remove excess earwax, warm a small amount of mineral oil, and then lie down so that you can apply a few drops into the ear canal. The warmth of the oil will help soften the wax. Tilt your head to one side to release the mineral oil. You can then use warm water to flush out the oil and softened wax.",,,,,A,
81,row3137::3137,1,Santorum believes that the revised law limits the scope of religious freedom and does not address the issue of gay rights.,"""It doesn't really open the debate up on some of the more current issues,"" Santorum said -- a reference to gay rights issues. With the Supreme Court set to rule in June on whether same-sex marriage should be legalized nationwide, social conservatives like Santorum have asserted that Christian bakers, florists and wedding photographers shouldn't be forced to provide their services to same-sex weddings. The Indiana uproar drew nearly all of the GOP's 2016 contenders into the debate, with candidates like Jeb Bush, Marco Rubio and Ted Cruz rushing to Pence's defense. ""Tolerance is a two-way street,"" Santorum said.",,,,,B,
82,row11460::11460,3,"When you're ready, open your cd/dvd burner and you will see your tracks or folders ready to be written to the disc.","Tip! If you want to have a organized MP3 cd then you should create folders on your computer and copy the MP3 files into these folders before starting the burning process. 1 Insert a empty CD into the cd/dvd burner of your computer. 2 Go to the location on your computer where the songs or folders are.ow the files will be copied to your cd/dvd burner... 6 When you're ready copying your mp3 files, then go to your cd/dvd burner (DVD RW Drive (D:)) and open it. Now you will see your tracks or folders ready to be written to the disc.",,,,,A,
83,row14675::14675,8,5.,"Type a password if prompted, and click OK. Click the Select All button to select the entire worksheet you want to protect. Press Ctrl+Shift+F. On the Protection tab, uncheck the Locked box, and click OK. On the worksheet, select the cells you want to lock.Press Ctrl+Shift+F again.",,,,,D,
84,row11713::11713,13,7.,"As a result, it's usually a good idea to have a vinyl lined pool drained by professional. However, if you are confident that your pool can withstand the draining process, rent a sump pump and connect it to the sewer drainage pipe. Place the pump in the deepest part of the pool and turn it on.",,,,,D,
85,row9389::9389,1,"According to customer reviews, the restaurant serves delicious and flavorful Thai cuisine at affordable prices.","Delicious food for an amazing price!'}, {'review_stars': 5.0, 'review_date': '2021-07-09 03:09:18', 'review_text': ""I'm not sure what's up with the bad reviews here. Thai Kitchen easily has the most consistent Pad Thai I've ever ordered from any Thai Restaurant, and it tastes damn good; it's the largest portion of Pad Thai I've ever been served, yet also the cheapest Pad Thai I've ever been billed. While other places' Pad Thai often come delivered dry and bland, Thai Kitchen has always delivered moist and flavorful Pad Thai, which is a surprisingly hard feat I've found.\n\nAlso tried their Coconut Water and Thai Tea in the past. Those are good, but nothing special.",,,,,A,
86,row6472::6472,2,"With an overall rating of 3.5 stars out of 5, customers have praised the business for its convenient location, friendly owner, and delicious food options.","the owner is the best, she actually helped me to get stuff I needed on the same day from else where...Sadly, it is already closed...'}, {'review_stars': 4.0, 'review_date': '2017-12-02 08:26:38', 'review_text': ""Cantwell's is closing, all food probably gone.",,,,,B,
87,row1988::1988,3,"Alondra's mother, Susana Nuñez, is now seeking justice for her daughter.","We are taking action on the matter,"" Alondra's mother -- Susana Nuñez -- told Milenio Television. ""They stole my child.""  output:",,,,,A,
88,row1065::1065,1,"The airstrikes targeted Houthi militant positions in Sanaa, Lahj province, and destroyed three military compounds.","Sanaa, Yemen  (CNN)Saudi airstrikes over Yemen have resumed once again, two days after Saudi Arabia announced the end of its air campaign. The airstrikes Thursday targeted rebel Houthi militant positions in three parts of Sanaa, two Yemeni Defense Ministry officials said. The attacks lasted four hours. The strikes caused no casualties, but did destroy all three military compounds that were targeted, the officials said. They said Saudi airstrikes were also targeting Houthi positions in Lahj province. On Tuesday, Saudi Arabia announced the end of its Operation Decisive Storm, a nearly month-long air campaign against Houthi positions. The Saudi-led coalition said a new initiative was underway, Operation Renewal of Hope, focused on the political process.",,,,,A,
89,row5567::5567,1,"According to customer reviews, the restaurant offers authentic, unique, and delicious dishes that are not typically found in American-Chinese restaurants.","{'name': 'Lucky Dragon', 'address': '6831 Hollister Ave, Ste B', 'city': 'Goleta', 'state': 'CA', 'categories': 'Fast Food, Chinese, Restaurants, Szechuan', 'hours': {'Tuesday': '17:0-20:30', 'Wednesday': '17:0-20:30', 'Thursday': '17:0-20:30', 'Friday': '17:0-20:30', 'Saturday': '17:0-20:30', 'Sunday': '17:0-20:30'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': False, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}}, 'business_stars': 3.5, 'review_info': ",,,,,C,
90,row5317::5317,9,"A third customer was impressed by their dining experience, mentioning the hand-squeezed lime margarita and the Chipotle Seafood Enchiladas with rice and beans.","I ordered the Chipotle Seafood Enchiladas with rice and beans... I intended on taking half home for lunch tomorrow, but that didn't happen.  It was absolutely delicious and I ate both enchiladas.  I also put a dent into the beans and rice, but man, I think next time, I'd just order the enchiladas and eat the extra sauce with the chips.  Their beans and rice are great but that enchilada sauce was out of this world.""}]} Overview:",,,,,B,
91,row5708::5708,8,"However, the empanadas did not meet everyone's expectations.","{'name': 'Buena Onda at Mosaic Locale', 'address': '1131 State St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Comfort Food, Bakeries, Food, Desserts, Restaurants, Empanadas, Argentine', 'hours': {'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-16:0', 'Sunday': '11:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': Fal",,,,,C,
92,row10643::10643,4,2.,"The strips should be about 3/4th of the length of the bottle (not all the way down). 2  Once again, make sure the scissor is sharp for a clean cut.If it’s not, heat it the same way as mentioned in step one. 3  Fold the strips like in the diagram and hold the position for a while.",,,,,D,
93,row2851::2851,7,"This is the first trial Morsy has faced since being removed from power, and he is also standing trial in three other cases, including charges of espionage and involvement in a 2011 jailbreak.","""Before the case reached the court, it was dominated by politics more than the law, and I said this in my argument at the court. But by reaching the court, the court examined the documents from the legal aspect and saw that they were innocent of accusations of murder and guilty of other charges. Consequently, we will appeal this sentence,"" he told CNN. Early in the trial, Morsy and his co-defendants were held in a metal cage in court. Later, that cage was enclosed in soundproof glass. This is the first trial Morsy was referred to after his removal from power. He is also standing trial in three other cases, including two on charges of espionage. The third trial involves a 2011 jailbreak. Morsy and 18 other members of the banned Muslim Brotherhood allegedly broke out of the  Wadi-Natroun pri",,,,,A,
94,row6331::6331,3,"The business operates from 8:30 am to 11:00 pm from Monday to Wednesday, 8:00 am to 2:00 pm on Thursday, and from 8:00 am to 11:00 pm on Friday and Saturday.","{'name': 'Hiwi Tropical Fusion', 'address': '6555 Pardall Rd', 'city': 'Goleta', 'state': 'CA', 'categories': 'Food, Hawaiian, Restaurants, Gluten-Free, Coffee & Tea, Breakfast & Brunch, American (New)', 'hours': {'Monday': '8:30-23:0', 'Tuesday': '8:30-23:0', 'Wednesday': '8:30-23:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '10:0-22:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': F",,,,,A,
95,row8574::8574,2,"They offer street parking and provide a number of amenities including free Wi-Fi, outdoor seating, take-out, and are good for groups.","{'name': 'The Garden Market', 'address': '3811 Santa Claus Ln', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Delis, Restaurants, Grocery, American (New), Cafes, Coffee & Tea, Beer, Wine & Spirits, Food', 'hours': {'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy'",,,,,A,
96,row3458::3458,4,"The Crown's final season covers events up until 2005, meaning Harry and Meghan's relationship will not be depicted.","Their most recent project, Heart of Invictus, follows competitors in the Invictus Games 2022 and their challenges during the Paralympic-style sporting event. However, the couple's ventures into the entertainment world have not been without controversy, as their Spotify partnership ended after just one series of Meghan's podcast Archetypes. The Crown's final season will cover events up until 2005, meaning Harry and Meghan's relationship, which began in 2016, will not be depicted.",,,,,A,
97,row11025::11025,4,3.,Communicable disease refers to diseases that can pass from one person to another. Non-communicable diseases occur in one person and cannot be passed on to another person.,,,,,D,
98,row13015::13015,2,Celexa may also be used to treat other mental conditions such as panic disorder and obsessive-compulsive disorder (OCD).,"Celexa may also be used to treat other mental conditions, such as panic disorder and obsessive-compulsive disorder (OCD). For women in menopause, it may also be used to treat hot flashes.",,,,,A,
99,row10978::10978,20,Choose whether you want to encrypt the entire drive or just the used space.,"Step 2: Select the drive that you want to encrypt, and click Turn on BitLocker. Step 3: Select how you want to unlock the drive, either by password or by smartcard.Step 4: Choose where you want to save the recovery key in case you forget your password.Step 5: Choose whether you want to encrypt the entire drive, or only the used space.This will determine how fast your drive works when encrypted. Once you click start encrypting, Windows will work on securing your drive. Once complete, only those with the password will be able to access the drive.tep 5: Choose whether you want to encrypt the entire drive, or only the used space. This will determine how fast your drive works when encrypted. Once you click start encrypting, Windows will work on securing your drive.",,,,,A,
100,row11015::11015,0,"Based on the given passages, here are some home remedies for ear wax removal:

1.","Place a few drops of olive oil on the ear before bedtime. Wait for a few minutes and let the excess oil drop out. Repeat this process in a span of a week sometimes less to help the ear wax go out. Once the ear wax goes out, take it out with the use of clean cotton.",,,,,B,
101,row11162::11162,4,3.,"Heat the tablespoon of oil in the skillet until it just begins to smoke. Add the pork sirloin roast and brown it on all sides. Place it in the baking dish. Roast the pork in the oven for approximately 50 to 70 minutes, turning the pork over in the pan after about 35 minutes of the cooking time has elapsed.Remove the roast from the oven when the instant-read meat thermometer registers between 145 and 150 degrees in the thickest portion of the meat.ips. 1  Alter the flavor of your pork sirloin roast by rubbing the meat with different herbs and spices before browning.",,,,,D,
